respondent,feedback
Tejesh,"The service was excellent and fast!"
Priya,"Food was okay, but the ambiance was great."
Rahul,"Customer support was slow to respond."
Sneha,"Absolutely loved the experience. Will come back!"
Arjun,"Too crowded and noisy for my taste."
Ananya,"The app was easy to use and navigate."
Ravi,"Checkout process was confusing."
Meera,"Great product quality but delivery was delayed."
Karan,"I had a bad experience with the support team."
Divya,"Everything was smooth and the staff was friendly."
